thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,1,0,0.04,0.75,1,6,squashed,0.8246751000406221,247,RB,56,1,
,,visual-haptic,1,0,0.04,1.5,1,6,squashed,2.8627575000282377,259,RB,56,1,
,,visual-haptic,0,0,0.04,1,1,3,stretched,2.1849015000043437,240,RB,56,1,
,,visual-haptic,3,0,0.04,1.5,1,3,stretched,2.292631799937226,252,RB,56,1,
,,visual-haptic,1,2,0.04,0.75,2,6,squashed,1.1909589000279084,285,RB,56,1,
,,visual-haptic,3,1,0.04,1.5,3,3,stretched,0.3196581000229344,254,RB,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,0.9278781999601051,250,RB,56,1,
,,visual-haptic,3,0,0.04,1.25,3,3,stretched,0.004196299938485026,278,RB,56,1,
,,visual-haptic,0,2,0.04,1,1,3,stretched,0.3554825000464916,193,RB,56,1,
,,visual-haptic,3,2,0.04,0.75,3,3,stretched,0.16995289991609752,226,RB,56,1,
,,visual-haptic,0,0,0.04,0.75,1,3,stretched,1.6585527999559417,267,RB,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,0.7332748000044376,253,RB,56,1,
,,visual-haptic,1,0,0.04,0.75,0,6,squashed,0.9911997999297455,236,RB,56,1,
,,visual-haptic,3,1,0.04,0.5,0,6,squashed,2.565812300075777,272,RB,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,0.8226006999611855,284,RB,56,1,
,,visual-haptic,0,0,0.04,1.25,3,6,squashed,1.5849947000388056,264,RB,56,1,
,,visual-haptic,0,1,0.04,1.25,3,3,stretched,0.4494554999982938,332,RB,56,1,
,,visual-haptic,3,0,0.04,1.25,2,3,stretched,0.820379100041464,237,RB,56,1,
,,visual-haptic,3,0,0.04,1.5,0,3,stretched,0.37966690002940595,235,RB,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,1.055475699948147,269,RB,56,1,
,,visual-haptic,1,0,0.04,1.5,2,6,squashed,1.1227720000315458,268,RB,56,1,
,,visual-haptic,1,0,0.04,0.75,2,6,squashed,0.8608726999955252,245,RB,56,1,
,,visual-haptic,3,0,0.04,0.5,1,6,squashed,1.2003515000687912,245,RB,56,1,
,,visual-haptic,0,1,0.04,0.5,2,6,squashed,0.6696187000488862,264,RB,56,1,
,,visual-haptic,3,1,0.04,1.25,3,3,stretched,2.058336399961263,315,RB,56,1,
,,visual-haptic,0,0,0.04,1,2,3,stretched,1.847184400074184,239,RB,56,1,
,,visual-haptic,0,0,0.04,0.5,1,6,squashed,1.3405381999909878,232,RB,56,1,
,,visual-haptic,3,1,0.04,1,3,6,squashed,2.5052027000347152,271,RB,56,1,
,,visual-haptic,1,0,0.04,1.5,3,3,stretched,1.2518879000563174,264,RB,56,1,
,,visual-haptic,1,1,0.04,0.5,1,6,squashed,1.0261570999864489,265,RB,56,1,
,,visual-haptic,1,0,0.04,1.5,0,3,stretched,1.1372711000731215,239,RB,56,1,
,,visual-haptic,3,0,0.04,0.5,2,6,squashed,4.410571999964304,271,RB,56,1,
,,visual-haptic,3,0,0.04,0.75,3,6,squashed,0.9865401999559253,261,RB,56,1,
,,visual-haptic,0,2,0.04,0.75,1,3,stretched,0.9189992999890819,229,RB,56,1,
,,visual-haptic,0,0,0.04,1.5,1,3,stretched,0.8675761999329552,246,RB,56,1,
,,visual-haptic,0,0,0.04,1,3,3,stretched,4.83762280002702,247,RB,56,1,
,,visual-haptic,1,2,0.04,0.75,1,6,squashed,0.7931900999974459,231,RB,56,1,
,,visual-haptic,3,2,0.04,1.25,1,3,stretched,0.45103949995245785,220,RB,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,1.2098492999793962,241,RB,56,1,
,,visual-haptic,0,2,0.04,1.25,2,3,stretched,0.6501165999798104,289,RB,56,1,
,,visual-haptic,3,2,0.04,1,0,6,squashed,1.9565842000301927,228,RB,56,1,
,,visual-haptic,3,1,0.04,0.75,1,6,squashed,0.11880200006999075,299,RB,56,1,
,,visual-haptic,1,1,0.04,0.5,0,6,squashed,1.9407997999805957,296,RB,56,1,
,,visual-haptic,3,1,0.04,0.75,2,6,squashed,0.843363199965097,271,RB,56,1,
,,visual-haptic,0,1,0.04,1.25,1,6,squashed,1.4997138000326231,274,RB,56,1,
,,visual-haptic,1,1,0.04,1.5,3,6,squashed,0.7513665000442415,275,RB,56,1,
,,visual-haptic,1,1,0.04,1,3,3,stretched,2.998256500111893,298,RB,56,1,
,,visual-haptic,1,2,0.04,1,1,3,stretched,0.0898095000302419,238,RB,56,1,
,,visual-haptic,1,0,0.04,0.5,2,6,squashed,0.574608700000681,253,RB,56,1,
,,visual-haptic,1,1,0.04,1,1,3,stretched,0.3728582999901846,308,RB,56,1,
,,visual-haptic,0,1,0.04,1,3,3,stretched,0.23637449997477233,317,RB,56,1,
,,visual-haptic,0,2,0.04,1.5,0,3,stretched,0.25976689998060465,225,RB,56,1,
,,visual-haptic,1,1,0.04,1.25,3,3,stretched,2.0950751000782475,292,RB,56,1,
,,visual-haptic,1,2,0.04,0.5,0,6,squashed,0.4354438999434933,233,RB,56,1,
,,visual-haptic,1,1,0.04,1.5,1,3,stretched,0.9891726999776438,272,RB,56,1,
,,visual-haptic,1,1,0.04,0.75,1,6,squashed,1.0874715000391006,252,RB,56,1,
,,visual-haptic,1,2,0.04,0.5,1,6,squashed,0.38204700010828674,225,RB,56,1,
,,visual-haptic,3,2,0.04,1,3,3,stretched,0.5618580000009388,245,RB,56,1,
,,visual-haptic,1,2,0.04,0.5,2,3,stretched,1.7426841999404132,239,RB,56,1,
,,visual-haptic,3,1,0.04,1.25,2,3,stretched,2.7336379000917077,255,RB,56,1,
,,visual-haptic,3,2,0.04,1.5,0,3,stretched,0.48171129997354,245,RB,56,1,
,,visual-haptic,0,1,0.04,0.75,2,3,stretched,0.7231221999973059,268,RB,56,1,
,,visual-haptic,1,2,0.04,1.25,2,3,stretched,0.14528639998752624,243,RB,56,1,
,,visual-haptic,1,1,0.04,0.75,0,3,stretched,4.12808449997101,269,RB,56,1,
,,visual-haptic,0,2,0.04,0.75,2,6,squashed,1.1015984000405297,229,RB,56,1,
,,visual-haptic,0,1,0.04,0.5,0,3,stretched,3.05787080002483,340,RB,56,1,
,,visual-haptic,1,2,0.04,1,0,3,stretched,1.1344205999048427,226,RB,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,0.7545187000650913,217,RB,56,1,
,,visual-haptic,1,2,0.04,0.5,3,6,squashed,0.3258820000337437,255,RB,56,1,
,,visual-haptic,1,2,0.04,1.25,3,6,squashed,0.6707929000258446,241,RB,56,1,
,,visual-haptic,3,0,0.04,1.25,1,3,stretched,0.7523055999772623,263,RB,56,1,
,,visual-haptic,3,0,0.04,1.5,2,6,squashed,2.390716699999757,235,RB,56,1,
,,visual-haptic,1,0,0.04,0.75,3,3,stretched,0.9414395000785589,246,RB,56,1,
,,visual-haptic,3,1,0.04,1.5,1,3,stretched,0.6257533000316471,266,RB,56,1,
,,visual-haptic,3,1,0.04,1,2,3,stretched,1.336445500026457,275,RB,56,1,
,,visual-haptic,1,1,0.04,1.25,0,3,stretched,0.7395199999446049,279,RB,56,1,
