thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,3,1,0.04,0.75,0,6,squashed,1.2627365000080317,295,ep,56,1,
,,visual-haptic,1,0,0.04,0.5,1,6,squashed,0.7704054999630898,286,ep,56,1,
,,visual-haptic,0,2,0.04,1.5,1,3,stretched,1.2708515000995249,250,ep,56,1,
,,visual-haptic,1,0,0.04,0.75,2,6,squashed,1.0491688000038266,269,ep,56,1,
,,visual-haptic,0,1,0.04,0.75,3,6,squashed,0.9678283000830561,303,ep,56,1,
,,visual-haptic,1,0,0.04,1.25,3,3,stretched,0.6818387999664992,269,ep,56,1,
,,visual-haptic,0,0,0.04,0.75,2,6,squashed,0.5773477999027818,262,ep,56,1,
,,visual-haptic,0,0,0.04,1,3,3,stretched,0.7303265000227839,274,ep,56,1,
,,visual-haptic,1,0,0.04,1.5,0,3,stretched,0.7630513000767678,231,ep,56,1,
,,visual-haptic,3,0,0.04,1,3,6,squashed,1.5149067000020295,345,ep,56,1,
,,visual-haptic,3,0,0.04,0.5,1,6,squashed,1.0640509000513703,282,ep,56,1,
,,visual-haptic,1,0,0.04,0.75,3,6,squashed,0.6102800001390278,259,ep,56,1,
,,visual-haptic,3,1,0.04,1.5,2,3,stretched,0.9864038000814617,294,ep,56,1,
,,visual-haptic,3,1,0.04,0.5,2,6,squashed,1.6469449000433087,285,ep,56,1,
,,visual-haptic,1,0,0.04,1,3,6,squashed,1.4745094999670982,248,ep,56,1,
,,visual-haptic,0,0,0.04,0.5,1,6,squashed,0.9750458998605609,258,ep,56,1,
,,visual-haptic,0,1,0.04,1,3,3,stretched,1.0238934000954032,358,ep,56,1,
,,visual-haptic,1,0,0.04,1,0,3,stretched,1.1349390998948365,237,ep,56,1,
,,visual-haptic,1,1,0.04,0.75,2,6,squashed,1.0922546000219882,294,ep,56,1,
,,visual-haptic,1,0,0.04,1.25,1,3,stretched,0.8633330999873579,278,ep,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,1.2147326001431793,310,ep,56,1,
,,visual-haptic,0,0,0.04,1.5,0,3,stretched,1.0899246998596936,284,ep,56,1,
,,visual-haptic,0,1,0.04,1.5,0,3,stretched,0.8347767000086606,269,ep,56,1,
,,visual-haptic,1,2,0.04,0.5,2,6,squashed,1.750979500124231,256,ep,56,1,
,,visual-haptic,3,2,0.04,1.25,0,3,stretched,1.1588526000268757,251,ep,56,1,
