thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,1,0.04,1.25,1,6,squashed,0.9774952000007033,276,cb,56,1,
,,visual-haptic,1,2,0.04,0.5,0,6,squashed,0.22057519992813468,303,cb,56,1,
,,visual-haptic,3,0,0.04,1.5,3,3,stretched,0.37509030010551214,246,cb,56,1,
,,visual-haptic,3,0,0.04,1,3,3,stretched,0.2616212998982519,250,cb,56,1,
,,visual-haptic,1,0,0.04,1,2,3,stretched,3.955691199982539,278,cb,56,1,
,,visual-haptic,0,2,0.04,1.25,3,3,stretched,0.9818321000784636,274,cb,56,1,
,,visual-haptic,0,1,0.04,0.75,1,6,squashed,0.4482179000042379,274,cb,56,1,
,,visual-haptic,0,0,0.04,1,1,3,stretched,0.4683601998258382,269,cb,56,1,
,,visual-haptic,3,1,0.04,0.75,2,6,squashed,0.3410822998266667,294,cb,56,1,
,,visual-haptic,0,1,0.04,0.5,3,6,squashed,0.6106501999311149,277,cb,56,1,
,,visual-haptic,0,2,0.04,0.5,1,6,squashed,0.4799999000970274,287,cb,56,1,
,,visual-haptic,3,1,0.04,1,3,3,stretched,0.08151230006478727,316,cb,56,1,
,,visual-haptic,1,1,0.04,1.25,1,3,stretched,0.3356288999784738,283,cb,56,1,
,,visual-haptic,0,2,0.04,1.5,3,3,stretched,0.1895378001499921,245,cb,56,1,
,,visual-haptic,3,2,0.04,0.5,0,6,squashed,0.29390439996495843,242,cb,56,1,
,,visual-haptic,1,2,0.04,0.75,0,6,squashed,0.29539790004491806,196,cb,56,1,
,,visual-haptic,0,2,0.04,0.75,0,6,squashed,0.2587079000659287,227,cb,56,1,
,,visual-haptic,3,2,0.04,1,0,3,stretched,0.8996077999472618,252,cb,56,1,
,,visual-haptic,0,2,0.04,0.5,3,6,squashed,0.2125081999693066,256,cb,56,1,
,,visual-haptic,1,2,0.04,1.5,1,3,stretched,2.920022399863228,281,cb,56,1,
,,visual-haptic,1,0,0.04,0.75,0,6,squashed,0.38314599986188114,261,cb,56,1,
,,visual-haptic,3,0,0.04,1,0,6,squashed,2.6372109001968056,285,cb,56,1,
,,visual-haptic,1,0,0.04,1.5,2,3,stretched,2.0382012999616563,264,cb,56,1,
,,visual-haptic,0,1,0.04,0.75,3,6,squashed,0.8702849000692368,322,cb,56,1,
,,visual-haptic,1,1,0.04,1.5,0,3,stretched,0.47326630004681647,318,cb,56,1,
,,visual-haptic,1,0,0.04,1.25,1,3,stretched,0.10200620000250638,295,cb,56,1,
,,visual-haptic,1,1,0.04,0.75,3,6,squashed,0.0156487999483943,309,cb,56,1,
,,visual-haptic,1,1,0.04,0.5,1,6,squashed,0.5033784001134336,283,cb,56,1,
,,visual-haptic,1,1,0.04,1.25,2,3,stretched,0.19513819995336235,319,cb,56,1,
,,visual-haptic,0,0,0.04,1.25,0,3,stretched,0.9549992000684142,256,cb,56,1,
,,visual-haptic,1,2,0.04,1,2,3,stretched,1.4196220999583602,253,cb,56,1,
,,visual-haptic,3,2,0.04,1.25,3,3,stretched,0.9381472000386566,224,cb,56,1,
,,visual-haptic,0,0,0.04,1.25,3,3,stretched,1.0050434998702258,283,cb,56,1,
,,visual-haptic,1,2,0.04,0.5,1,6,squashed,0.44743030006065965,266,cb,56,1,
,,visual-haptic,0,1,0.04,0.75,0,6,squashed,0.4350622999481857,267,cb,56,1,
,,visual-haptic,1,2,0.04,1.25,3,3,stretched,0.2774800998158753,259,cb,56,1,
,,visual-haptic,1,1,0.04,1.25,0,6,squashed,3.7872510999441147,286,cb,56,1,
,,visual-haptic,3,2,0.04,0.5,2,6,squashed,0.6561338000465184,220,cb,56,1,
,,visual-haptic,0,1,0.04,1.5,2,3,stretched,0.24524690001271665,315,cb,56,1,
,,visual-haptic,0,1,0.04,1.25,0,3,stretched,0.6198820001445711,294,cb,56,1,
,,visual-haptic,3,1,0.04,1.5,0,3,stretched,0.3041284999344498,328,cb,56,1,
,,visual-haptic,3,2,0.04,1.25,0,3,stretched,0.8145087999291718,243,cb,56,1,
,,visual-haptic,0,0,0.04,0.75,2,6,squashed,0.5953744000289589,260,cb,56,1,
,,visual-haptic,0,0,0.04,0.5,0,6,squashed,0.233992800116539,240,cb,56,1,
,,visual-haptic,1,0,0.04,0.5,3,6,squashed,0.2816294999793172,256,cb,56,1,
,,visual-haptic,3,2,0.04,0.5,3,6,squashed,0.15633430005982518,278,cb,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,0.3985791001468897,251,cb,56,1,
,,visual-haptic,0,2,0.04,1,0,3,stretched,0.17234869999811053,261,cb,56,1,
,,visual-haptic,1,2,0.04,0.75,1,6,squashed,1.2519038999453187,228,cb,56,1,
,,visual-haptic,1,1,0.04,0.75,0,6,squashed,0.23047100007534027,272,cb,56,1,
,,visual-haptic,0,1,0.04,0.5,2,6,squashed,0.3178182998672128,301,cb,56,1,
,,visual-haptic,1,0,0.04,1.25,2,3,stretched,0.6984488999005407,284,cb,56,1,
,,visual-haptic,3,1,0.04,0.5,1,6,squashed,0.5614290998782963,292,cb,56,1,
,,visual-haptic,0,1,0.04,1.25,3,3,stretched,0.9928087000735104,357,cb,56,1,
,,visual-haptic,3,1,0.04,1,1,3,stretched,3.8574829001445323,338,cb,56,1,
,,visual-haptic,3,2,0.04,0.75,2,6,squashed,0.3119143000803888,229,cb,56,1,
,,visual-haptic,3,2,0.04,0.75,0,6,squashed,0.12679449981078506,248,cb,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,0.1568636998999864,221,cb,56,1,
,,visual-haptic,1,0,0.04,1.5,1,6,squashed,1.0981471000704914,260,cb,56,1,
,,visual-haptic,1,1,0.04,0.5,3,6,squashed,0.9270882001146674,315,cb,56,1,
,,visual-haptic,0,2,0.04,1.25,0,3,stretched,0.29860720015130937,273,cb,56,1,
,,visual-haptic,0,1,0.04,1.5,3,3,stretched,0.37546809995546937,314,cb,56,1,
,,visual-haptic,3,1,0.04,1.25,2,3,stretched,0.34277889993973076,309,cb,56,1,
,,visual-haptic,3,2,0.04,0.5,1,6,squashed,0.19047280005179346,230,cb,56,1,
,,visual-haptic,0,2,0.04,1.25,1,3,stretched,3.580886699957773,214,cb,56,1,
