thisRow.t,notes,phase,vibration,texture,half_height,depth_factor,repetition,response_key,perceived,rt_s,render_time_ms,Participant ID,IOD (mm),Session,
,,visual-haptic,0,2,0.04,1.25,2,3,stretched,1.4819387999596074,251,kc,56,1,
,,visual-haptic,1,0,0.04,1.5,0,3,stretched,1.3898424000944942,252,kc,56,1,
,,visual-haptic,1,2,0.04,1,2,3,stretched,0.8125940000172704,230,kc,56,1,
,,visual-haptic,1,2,0.04,0.75,2,6,squashed,0.16387879999820143,222,kc,56,1,
,,visual-haptic,0,2,0.04,1,3,6,squashed,3.3302260000491515,236,kc,56,1,
,,visual-haptic,1,2,0.04,1.25,3,6,squashed,2.4077222000341862,233,kc,56,1,
,,visual-haptic,3,1,0.04,1.25,1,3,stretched,2.215473100077361,278,kc,56,1,
,,visual-haptic,0,1,0.04,0.5,0,6,squashed,0.6281046998919919,280,kc,56,1,
,,visual-haptic,3,1,0.04,0.75,2,6,squashed,1.6669764999533072,320,kc,56,1,
,,visual-haptic,3,0,0.04,1.5,2,3,stretched,0.7831971000414342,257,kc,56,1,
,,visual-haptic,0,0,0.04,0.5,0,6,squashed,1.1168232000200078,242,kc,56,1,
,,visual-haptic,1,1,0.04,1.5,0,3,stretched,0.11840479995589703,279,kc,56,1,
,,visual-haptic,1,0,0.04,1.25,0,3,stretched,0.913806900032796,255,kc,56,1,
,,visual-haptic,1,0,0.04,1,0,6,squashed,2.874928400036879,247,kc,56,1,
,,visual-haptic,3,2,0.04,0.75,3,6,squashed,2.067283699987456,237,kc,56,1,
,,visual-haptic,0,2,0.04,0.75,3,6,squashed,0.496830900083296,250,kc,56,1,
,,visual-haptic,0,2,0.04,1,1,3,stretched,0.3786154000554234,233,kc,56,1,
,,visual-haptic,1,2,0.04,0.5,2,6,squashed,0.7909808000549674,257,kc,56,1,
,,visual-haptic,0,1,0.04,0.5,2,6,squashed,0.4851646999595687,294,kc,56,1,
,,visual-haptic,0,2,0.04,0.5,0,6,squashed,0.18207350000739098,230,kc,56,1,
,,visual-haptic,3,0,0.04,0.5,0,6,squashed,0.3973517999984324,259,kc,56,1,
,,visual-haptic,3,1,0.04,1.5,0,3,stretched,0.7948334999382496,279,kc,56,1,
,,visual-haptic,1,2,0.04,0.5,1,6,squashed,0.9618927000556141,230,kc,56,1,
,,visual-haptic,1,1,0.04,1,3,6,squashed,1.3383058999897912,281,kc,56,1,
,,visual-haptic,0,0,0.04,1.25,1,3,stretched,0.7639413999859244,247,kc,56,1,
,,visual-haptic,0,2,0.04,1.5,2,3,stretched,0.36621559993363917,234,kc,56,1,
,,visual-haptic,1,2,0.04,1.25,1,3,stretched,0.8545519999461249,265,kc,56,1,
,,visual-haptic,3,1,0.04,0.5,1,6,squashed,0.08877170004416257,296,kc,56,1,
,,visual-haptic,0,2,0.04,0.75,0,6,squashed,0.4232983000110835,224,kc,56,1,
,,visual-haptic,0,0,0.04,0.75,0,6,squashed,0.13057630008552223,268,kc,56,1,
,,visual-haptic,1,0,0.04,1,3,3,stretched,1.7245033000363037,284,kc,56,1,
,,visual-haptic,1,0,0.04,0.5,0,6,squashed,0.27097449998836964,289,kc,56,1,
,,visual-haptic,1,1,0.04,0.5,3,6,squashed,0.32647579989861697,296,kc,56,1,
,,visual-haptic,0,1,0.04,0.75,0,6,squashed,1.0759614000562578,278,kc,56,1,
,,visual-haptic,0,0,0.04,1,0,3,stretched,0.5268017000053078,304,kc,56,1,
,,visual-haptic,3,1,0.04,0.75,0,6,squashed,0.6170045000035316,305,kc,56,1,
,,visual-haptic,3,2,0.04,1.25,2,3,stretched,0.40661740000359714,233,kc,56,1,
,,visual-haptic,3,0,0.04,1,3,3,stretched,1.138862599967979,268,kc,56,1,
,,visual-haptic,3,2,0.04,1,3,3,stretched,0.09726589999627322,257,kc,56,1,
,,visual-haptic,0,0,0.04,1.5,1,3,stretched,0.11855529993772507,252,kc,56,1,
,,visual-haptic,1,1,0.04,1.5,3,3,stretched,1.1082110999850556,261,kc,56,1,
,,visual-haptic,3,1,0.04,1.25,2,3,stretched,2.0487655999604613,283,kc,56,1,
,,visual-haptic,0,2,0.04,0.5,2,6,squashed,5.732293399982154,234,kc,56,1,
,,visual-haptic,3,2,0.04,1.25,3,3,stretched,1.275042499997653,233,kc,56,1,
,,visual-haptic,1,1,0.04,1.5,1,3,stretched,2.7429862999124452,277,kc,56,1,
,,visual-haptic,3,1,0.04,0.75,3,6,squashed,3.2472113999538124,302,kc,56,1,
,,visual-haptic,0,0,0.04,0.75,2,6,squashed,1.1123176000546664,279,kc,56,1,
,,visual-haptic,0,1,0.04,0.75,3,6,squashed,0.7971680000191554,296,kc,56,1,
,,visual-haptic,1,0,0.04,0.75,3,6,squashed,0.3141059000045061,246,kc,56,1,
,,visual-haptic,3,0,0.04,1,0,3,stretched,0.1923401999520138,257,kc,56,1,
,,visual-haptic,1,1,0.04,1.25,1,3,stretched,2.3372465999564156,255,kc,56,1,
,,visual-haptic,0,0,0.04,1.25,2,3,stretched,0.44048260001000017,262,kc,56,1,
,,visual-haptic,0,1,0.04,1.5,2,3,stretched,1.072614899952896,253,kc,56,1,
,,visual-haptic,1,2,0.04,1.5,3,3,stretched,1.17920969997067,255,kc,56,1,
,,visual-haptic,0,0,0.04,1,3,3,stretched,0.7154511000262573,245,kc,56,1,
,,visual-haptic,0,2,0.04,1.25,3,6,squashed,0.8999363000039011,233,kc,56,1,
,,visual-haptic,3,2,0.04,0.75,0,6,squashed,0.9063217000802979,231,kc,56,1,
,,visual-haptic,0,2,0.04,0.75,1,6,squashed,0.8668840000173077,245,kc,56,1,
,,visual-haptic,3,2,0.04,1.5,1,3,stretched,0.4360247999429703,226,kc,56,1,
,,visual-haptic,3,1,0.04,1,1,3,stretched,0.8729206999996677,289,kc,56,1,
